Date,Description,Amount,Balance,Post Date
04/22/2025,THE MORNING PRESS        BROOKLYN     NY,$80.00,$0.00,04/22/2025
04/22/2025,THE COPPER RAIL          SEAMLESS.COM NY,$18.71,$0.00,04/23/2025
04/22/2025,Altitude Fitness         NEW YORK     NY,$94.66,$0.00,04/23/2025
04/22/2025,RIDGELINE BOOKS          BOOKSHOP.ORG NY,$70.70,$0.00,04/23/2025
04/22/2025,PEAK FLOW YOGA           New York     NY,$13.99,$0.00,04/23/2025
04/22/2025,MESA VERDE KITCHEN       g.co/helppay#CA,$17.42,$0.00,04/23/2025
04/23/2025,CORNERSTONE MARKET       866-263-8325 MA,$13.05,$0.00,04/23/2025
04/24/2025,HOME ASSISTANT CLOUD     801-413-7200 CA,$38.51,$0.00,04/27/2025
04/25/2025,CONSUMERREPORTS.ORG      800-653-8000 CA,$84.92,$0.00,04/27/2025
04/26/2025,WHYHUNGER ORG            GOFORWARD.ORG M,$36.08,$0.00,04/27/2025
04/27/2025,TST* RED OAK TAVERN      nabucasa.com CA,$29.46,$0.00,04/28/2025
04/27/2025,THE AMBER ROOM           Internet     CA,$25.00,$0.00,04/28/2025
04/27/2025,STONE HOLLOW COFFEE      SEAMLESS.COM NY,$52.05,$0.00,04/29/2025
04/28/2025,ROOFTOP PILSNER CO       Springfield  VA,$125.00,$0.00,04/28/2025
04/28/2025,SHOPSTREAM *ORDER        PADDLE.COM   NY,$9.25,$0.00,04/29/2025
04/28/2025,THE YELLOW FINCH         BROOKLYN     NY,$14.14,$0.00,04/29/2025
04/29/2025,BAZAAR *ONLINE ORDER     SEAMLESS.COM NY,$56.00,$0.00,04/30/2025
04/29/2025,KIVA MICROLOAN           NEW YORK     NY,$65.16,$0.00,04/30/2025
04/30/2025,EMBER GRAIN COFFEE       BOOKSHOP.ORG NY,$16.80,$0.00,05/01/2025
04/30/2025,SQ *THE PAGE TURNER      New York     NY,$20.00,$0.00,05/01/2025
04/30/2025,THE THREAD HOUSE         g.co/helppay#CA,$25.00,$0.00,05/01/2025
05/01/2025,CITYWIDE PER INS         866-263-8325 MA,$37.62,$0.00,05/02/2025
05/01/2025,GREENPATH FUND           801-413-7200 CA,$396.28,$0.00,05/04/2025
05/03/2025,STRONGHOLD GYM           800-653-8000 CA,$12.95,$0.00,05/04/2025
05/03/2025,HOLLOW TREE ROASTERS     GOFORWARD.ORG M,$225.00,$0.00,05/04/2025
05/03/2025,RIDEPATH *TRIP           nabucasa.com CA,$42.35,$0.00,05/05/2025
05/04/2025,DRIFTWOOD KITCHEN        Internet     CA,$58.96,$0.00,05/06/2025
05/05/2025,AUTOMATIC PAYMENT - THANK YOU,($3637.42),$0.00,05/05/2025
05/05/2025,GROVE MARKET             SEAMLESS.COM NY,$90.04,$0.00,05/06/2025
05/05/2025,THE VIOLET FORK          Springfield  VA,$14.14,$0.00,05/06/2025
05/06/2025,CENTRAL PARKING WEB      PADDLE.COM   NY,$226.46,$0.00,05/06/2025
05/06/2025,GOFORWARD CAMPAIGN       BROOKLYN     NY,$9.24,$0.00,05/07/2025
05/08/2025,COBBLESTONE ALE HSE      SEAMLESS.COM NY,$42.44,$0.00,05/09/2025
05/09/2025,FIELDSTONE GROCERY       NEW YORK     NY,$271.75,$0.00,05/12/2025
05/10/2025,SPECTACLE EVENT CO       BOOKSHOP.ORG NY,$12.95,$0.00,05/11/2025
05/10/2025,SUNDOG THAI KITCHEN      New York     NY,$47.55,$0.00,05/12/2025
05/12/2025,COPPER PLATE BISTRO      g.co/helppay#CA,$14.14,$0.00,05/13/2025
05/12/2025,MEDICROSS LABS           866-263-8325 MA,$66.88,$0.00,05/13/2025
05/15/2025,WATERSHED TAPROOM        801-413-7200 CA,$32.66,$0.00,05/16/2025
05/16/2025,FSP*THE LONG POUR        800-653-8000 CA,$100.00,$0.00,05/18/2025
05/16/2025,THE LOFT STUDIO          GOFORWARD.ORG M,$13.05,$0.00,05/18/2025
05/17/2025,COPPERHEAD COFFEE        nabucasa.com CA,$93.34,$0.00,05/18/2025
05/17/2025,DAWN BREAK ROASTERS      Internet     CA,$62.93,$0.00,05/18/2025
05/18/2025,STREAM*VIDEOPRIME        SEAMLESS.COM NY,$44.30,$0.00,05/18/2025
05/18/2025,CLEARPATH MARKET         Springfield  VA,$64.94,$0.00,05/19/2025
05/18/2025,SALTGRASS ESPRESSO       PADDLE.COM   NY,($42.44),$0.00,05/19/2025
05/18/2025,PAYPAL *MARKETPLACE      BROOKLYN     NY,$64.21,$0.00,05/20/2025
