Posted Date,Reference Number,Payee,Address,Amount
04/11/2026,24013396100002240252371,VOLUME BOOK SHOP NEW YORK NY,NEW YORK      NY ,-8.41
04/11/2026,24251386100030051082076,SUNDOG THAI KITCHEN NEW YORK NY,NEW YORK      NY ,-20.90
04/11/2026,24692166100405859776561,Patreon* Membership Internet CA,Internet      CA ,-3.00
04/11/2026,24692166100405850147325,SALTGRASS NOODLE HOUSE NEW YORK NY,NEW YORK      NY ,-3.00
04/11/2026,24692166100405727534010,GB* COMMUNITY FUND GIVEBUTTER.CO DE,GIVEBUTTER.CO DE ,-3.00
04/10/2026,24445006099200170953630,COPPER BLOSSOM CAFE NEW YORK NY,NEW YORK      NY ,-21.71
04/10/2026,24204296099002460235225,NORTHSIDE APPAREL NEW YORK NY,NEW YORK      NY ,-9.24
04/10/2026,24692166099404772398259,COBBLESTONE CANTINA NEW YORK NY,NEW YORK      NY ,-3.00
04/10/2026,24692166099404821821236,FSP*COBBLESTONE ALE HOUSE NEW YORK NY,NEW YORK   NY ,-3.00
04/09/2026,24943016098010185401161,THE MORNING PRESS NEW YORK NY,NEW YORK      NY ,-60.15
04/09/2026,24028206098900012801143,FERN & OAK NEW YORK NY,NEW YORK      NY ,-12.89
04/08/2026,24943016097010204675929,HARBOR LIGHT SUSHI NEW YORK NY,NEW YORK      NY ,-11.96
04/07/2026,24692166096105851355804,NORTHPLEX THEATER NEW YORK NY,NEW YORK      NY ,-35.93
04/07/2026,24137466096500745041973,WATERSHED COFFEE NEW YORK NY,NEW YORK      NY ,-53.02
04/06/2026,24055226095705452348548,TST* THE STILL POINT New York NY,New York      NY ,-6.26
04/06/2026,24551936095027013199234,THE AMBER ROOM NEW YORK NY,NEW YORK      NY ,-9.97
04/06/2026,24137466095501242983452,CIVICWORKS FUND SECURE.ACTBLU MA,SECURE.ACTBLU MA ,-16.75
04/06/2026,24692166095104894942000,COPPER PLATE BISTRO NEW YORK NY,NEW YORK      NY ,-21.78
04/06/2026,24137466094300857363014,CITY FRESH GROCERY NEW YORK NY,NEW YORK      NY ,-103.10
04/06/2026,74055236094704171556403,SP NORTHCRAFT SHOP NORTHCRAFT.COM NY,NORTHCRAFT.CO NY ,119.75
04/06/2026,74055236094704171166369,RIVERVIEW FOODS NEW YORK NY,NEW YORK      NY ,23.15
04/06/2026,24692166094104343413927,RIDGELINE BOOKS NEW YORK NY,NEW YORK      NY ,-70.77
04/06/2026,24943016094010205552518,SQ *STORMCROW TAPAS Brooklyn NY,Brooklyn      NY ,-74.50
04/06/2026,24137466094501303462603,CORNERSTONE HARDWARE BROOKLYN NY,BROOKLYN      NY ,-18.68
04/06/2026,24692166094103905758398,TRADEPOST *PURCHASE 800-456-3229 CA,800-456-3229  CA ,-70.77
04/04/2026,09420401060023329301404,ONLINE/MOBILE PAYMENT CONF#6dhm9f6sy,,2607.03
04/04/2026,24231686094703516473546,SQ *FERN HILL BAKERY New York NY,New York      NY ,-17.40
04/04/2026,24204296094000298605069,CURB SVC - CAR APP 718-756-0000 NY,718-756-0000  NY ,-97.98
