Posted Date,Reference Number,Payee,Address,Amount
12/12/2025,24492165346100022112699,EB *EVENT PREMIER 801-413-7200 CA,801-413-7200  CA ,-39.56
12/12/2025,24061065345030010460186,FIELDSTONE GROCERY BROOKLYN NY,BROOKLYN      NY ,-8.71
12/12/2025,24064665345100040831054,FOXHOLE BREWING CO BROOKLYN NY,BROOKLYN      NY ,-12.95
12/05/2025,24692165338107587038530,BIRCH AND BARLEY NEW YORK NY,NEW YORK      NY ,-10.88
12/05/2025,24692165338107585518731,CITY FRESH GROCERY NEW YORK NY,NEW YORK      NY ,-27.00
12/04/2025,24453885338000011296893,SQ *PORCH LIGHT DINER New York NY,New York      NY ,-17.15
12/03/2025,24801975336568787007884,FOXFIRE NOODLES NEW YORK NY,NEW YORK      NY ,-396.28
12/02/2025,24137465335501011701608,THE LOFT STUDIO NEW YORK NY,NEW YORK      NY ,-80.33
12/02/2025,24137465335501011701525,CITY PHARMACY #088 NEW YORK NY,NEW YORK      NY ,-51.50
12/01/2025,24137465334501163034429,NORTHSIDE PHARMACY BROOKLYN NY,BROOKLYN      NY ,-51.33
12/01/2025,24239005334900012101432,SP NORTHCRAFT SHOP NORTHCRAFT.COM NY,NORTHCRAFT.CO NY ,-19.03
12/01/2025,24064665334100000359602,BAZAAR *ONLINE ORDER 800-456-3229 CA,800-456-3229  CA ,-12.95
12/01/2025,24022075333565247161264,AUDIOSTREAM* STREAMCAST.COM NY,STREAMCAST.CO NY ,-22.47
11/29/2025,24164075332233481101822,ANCHOR AND VINE BROOKLYN NY,BROOKLYN      NY ,-871.68
11/28/2025,24391225331563210524739,SEATSTREAM TICKETS SEATSTREAM.COM NY,SEATSTREAM.CO NY ,-125.00
11/28/2025,24793385330002276823229,STREAM*VIDEOPRIME g.co/helppay# CA,g.co/helppay# CA ,-27.30
11/28/2025,24011345330100121181619,MEADOWBROOK GROCERS BROOKLYN NY,BROOKLYN      NY ,-56.56
11/26/2025,24137465330001443955489,GREENPATH FUND GREENPATH.ORG MA,GREENPATH.ORG MA ,-230.82
11/26/2025,24137465329300832157530,COBBLESTONE CANTINA NEW YORK NY,NEW YORK      NY ,-28.92
11/25/2025,32986000000159041198172,CASH REWARDS STATEMENT CREDIT,,245.36
11/25/2025,32920401080020303098819,ONLINE/MOBILE PAYMENT CONF#M99020997560,F#M9902099756 0  ,2252.95
11/25/2025,24116415329744242849899,E-Z*TOLL REBILL 800-333-0000 NY,800-333-0000  NY ,-114.15
11/25/2025,24194335328030016246827,SUMMIT HOTEL PALM BEACH FL,PALM BEACH    FL ,-7.61
11/25/2025,24137465328501053703370,TIMBERWOLF HARDWARE BROOKLYN NY,BROOKLYN      NY ,-40.48
11/25/2025,24692165328107025646334,FERNWOOD TAQUERIA BROOKLYN NY,BROOKLYN      NY ,-3.21
11/25/2025,24692165328107018559890,CORNERSTONE MARKET NEW YORK NY,NEW YORK      NY ,-12.79
11/24/2025,24755425328123287189725,THE MOVEMENT ROOM BROOKLYN NY,BROOKLYN      NY ,-16.98
11/24/2025,24137465327001492074583,OMNYTRANSIT* 877-789-0000 NY,877-789-0000  NY ,-5.98
11/24/2025,24137465327600459717223,WWW.IRONCLAD-YOGA.COM WWW.IRONCLAD-YOGA.COM NY,WWW.IRONCLAD- NY ,-15.70
11/24/2025,24064665327100001312559,TST* KESTREL SUSHI BAR NEW YORK NY,NEW YORK      NY ,-12.95
11/24/2025,24064665327100000369972,IRONWOOD BBQ BROOKLYN NY,BROOKLYN      NY ,-26.95
11/22/2025,24137465325300804141284,HARBOR LIGHT SUSHI NEW YORK NY,NEW YORK      NY ,-13.05
11/22/2025,24692165325104715533545,HARBOR FREIGHT TOOLS BROOKLYN NY,BROOKLYN      NY ,-20.69
11/22/2025,24251385325030049645373,Patreon* Membership Internet CA,Internet      CA ,-19.60
11/20/2025,24445005323300506248216,RIDEPATH *TRIP HELP.RIDEPATH.COM CA,HELP.RIDEPATH CA ,-54.88
11/20/2025,24064665323100087487113,PAYPAL *MARKETPLACE 402-935-7733 IL,402-935-7733 IL ,-12.95
11/18/2025,24011345321100124696150,RIDGELINE RECORDS BROOKLYN NY,BROOKLYN      NY ,-9.00
11/18/2025,24137465321501040482234,SP NORTHCRAFT GEAR northcraft.com CA,northcraft.com CA ,-124.52
11/18/2025,24137465321501040482150,CITYLOCK STORAGE 800-555-0500 NY,800-555-0500  NY ,-35.65
11/17/2025,24183105320900019302421,URBAN HEALTH CLINIC NEW YORK NY,NEW YORK      NY ,-40.38
11/17/2025,24183105320900019300938,MERIDIAN YOGA NEW YORK NY,NEW YORK      NY ,-40.27
11/15/2025,24137465318300795954322,NORTHNODE HOSTING Reykjavik IS,Reykjavik     IS ,-13.05
11/15/2025,24692165318108212900718,THE AMBER ROOM NEW YORK NY,NEW YORK      NY ,-18.50
11/14/2025,24453885318000017232706,CINEMALOG PADDLE.COM NY,PADDLE.COM    NY ,-17.15
11/13/2025,24793385317000912404096,ORCHID HOUSE CLEANING WWW.CLEANINGNY,WWW.CLEANINGN NY ,-175.00
11/13/2025,24000775316100033890983,THE IRON FORK NEW YORK NY,NEW YORK      NY ,-179.00
11/13/2025,24431065316324583597062,RIDGELINE BOOKS NEW YORK NY,NEW YORK      NY ,-99.00
