Posted Date,Reference Number,Payee,Address,Amount
02/12/2026,24692166042105038996053,ANCHOR AND VINE BROOKLYN NY,BROOKLYN      NY ,-11.76
02/11/2026,24064666042100007014243,CORNERSTONE MARKET NEW YORK NY,NEW YORK      NY ,-35.87
02/11/2026,24765016041644358542600,BIRCH AND BARLEY NEW YORK NY,NEW YORK      NY ,-12.13
02/11/2026,24692166041103866469682,THE AMBER ROOM NEW YORK NY,NEW YORK      NY ,-37.01
02/10/2026,24036296041742847880739,CURB SVC - CAR APP 718-756-0000 NY,718-756-0000  NY ,-134.95
02/10/2026,24431066041375909705797,TM *STAGEFRONT SHOW 800-653-8000 CA,800-653-8000  CA ,-14.14
02/10/2026,24435656040157047019611,METRO SUPPLY HOUSE NEW YORK NY,NEW YORK      NY ,-161.06
02/10/2026,24036296040744760132883,RIDGELINE SUPPLY BROOKLYN NY,BROOKLYN      NY ,-213.35
02/09/2026,24204296040002035407218,MEADOWBROOK GROCERS BROOKLYN NY,BROOKLYN      NY ,-11.85
02/09/2026,24116416039718572091883,HARBOR LIGHT SUSHI NEW YORK NY,NEW YORK      NY ,-14.62
02/09/2026,24943016039010197580954,ATLAS MEDICAL GROUP 855-880-0000 NY,855-880-0000 NY ,-73.57
02/09/2026,24231686039641498213241,TRADEPOST *PURCHASE 800-456-3229 CA,800-456-3229  CA ,-106.01
02/09/2026,24064666039100001372261,CITYWIDE PER INS 800-842-0000 CT,800-842-0000  CT ,-12.95
02/07/2026,24692166037100754464458,SQ *STORMCROW TAPAS Brooklyn NY,Brooklyn      NY ,-17.70
02/07/2026,24036296037718241587712,HOMEGOODS*ONLINE 866-263-8000 MA,866-263-8000  MA ,-108.86
02/07/2026,24692166037100647416210,ARTISAN*MARKET ONLINE 888-555-0192 NY,888-555-0192 NY ,-18.50
02/06/2026,24251386036030045188426,SP NORTHCRAFT GEAR northcraft.com CA,northcraft.com CA ,-32.00
02/06/2026,24692166036102113511103,CLEARWATER YOGA BROOKLYN NY,BROOKLYN      NY ,-3.00
02/05/2026,74204296036000008022049,THE LOFT STUDIO NEW YORK NY,NEW YORK      NY ,12.37
02/05/2026,24943016035010191035819,SP CLEARWATER GOODS CLEARGOODS.COM CA,CLEARGOODS.CO CA ,-118.13
02/04/2026,24801976035636823086865,SEASIDE MARINA EAST END AI,EAST END      AI ,-12.36
02/04/2026,24275396034900014300751,THE VIOLET FORK NEW YORK NY,NEW YORK      NY ,-19.67
02/04/2026,24204296035000714447049,RIDGELINE SUPPLY CO BROOKLYN NY,BROOKLYN      NY ,-32.02
02/04/2026,24036296034718771053575,CITYLOCK STORAGE 800-555-0500 NY,800-555-0500  NY ,-39.94
02/04/2026,24692166034100848523114,MUSICPASS* PREMIUM g.co/helppay# CA,g.co/helppay# CA ,-90.49
02/04/2026,74943016034010189322548,RIDEPATH *TRIP HELP.RIDEPATH.COM CA,HELP.RIDEPATH CA ,32.62
02/04/2026,24943016034010197625515,SUNDOG THAI KITCHEN NEW YORK NY,NEW YORK      NY ,-32.62
02/04/2026,24943016034010197623106,BLUE HERON KITCHEN BROOKLYN NY,BROOKLYN      NY ,-144.48
02/04/2026,24027626034067651526444,DAWN BREAK ROASTERS NEW YORK NY,NEW YORK      NY ,-4.96
02/04/2026,24027626034067652642935,CLOUDONE* 855-836-0000 CA,855-836-0000  CA ,-11.08
02/03/2026,24692166033109860887720,HIGHLAND RESORT NORTHSHIRE VT,NORTHSHIRE    VT ,-5.43
02/03/2026,24137466033500954573753,NORTHNODE HOSTING Reykjavik IS,Reykjavik     IS ,-50.12
02/02/2026,24204296033000132838045,STREAM*VIDEOPRIME g.co/helppay# CA,g.co/helppay# CA ,-12.37
02/02/2026,24793386033000286945220,PULSE FITNESS NEW YORK NY,NEW YORK      NY ,-31.70
02/02/2026,24204296032001891472084,SQ *FIELDSTONE BISTRO Brooklyn NY,Brooklyn      NY ,-40.15
02/02/2026,24011346032100079610006,THE YELLOW FINCH NEW YORK NY,NEW YORK      NY ,-85.00
02/02/2026,24412906031030028288900,HARVEST TABLE FOODS BROOKLYN NY,BROOKLYN      NY ,-31.14
02/02/2026,24204296031001398051218,FOXHOLE BREWING CO BROOKLYN NY,BROOKLYN      NY ,-148.06
01/31/2026,24011346031100070479121,PAYPAL *MARKETPLACE 402-935-7733 IL,402-935-7733 IL ,-20.00
01/31/2026,24692166030107413418038,SP NORTHCRAFT SHOP NORTHCRAFT.COM NY,NORTHCRAFT.CO NY ,-60.57
01/31/2026,24765016030632412788304,COASTAL CHARTERS EAST END NY,EAST END      NY ,-30.68
01/31/2026,24036296030742097165313,THE IRON ANCHOR NEW YORK NY,NEW YORK      NY ,-224.26
01/29/2026,24793386029001900433086,THE MOVEMENT ROOM BROOKLYN NY,BROOKLYN      NY ,-70.77
