Posted Date,Reference Number,Payee,Address,Amount
01/12/2026,24377356012000002192992,ISLAND VIEW RESORT EAST END AI,EAST END      AI ,-200.94
01/12/2026,24445006011300518394854,WILDFLOWER RAMEN BROOKLYN NY,BROOKLYN      NY ,-18.55
01/12/2026,24055226011612095612333,RIDGEBACK RAMEN NEW YORK NY,NEW YORK      NY ,-5.36
01/12/2026,24943016011010192115451,SEASIDE MARINA EAST END AI,EAST END      AI ,-65.19
01/12/2026,24943016011010201394857,THE YELLOW FINCH NEW YORK NY,NEW YORK      NY ,-82.68
01/12/2026,24137466011501175256968,DRIFTWOOD KITCHEN NEW YORK NY,NEW YORK      NY ,-56.99
01/12/2026,24064666011100001290416,ATLAS MEDICAL GROUP 855-880-0000 NY,855-880-0000 NY ,-12.95
01/12/2026,24204296010001471629075,SEATSTREAM TICKETS SEATSTREAM.COM NY,SEATSTREAM.CO NY ,-16.28
01/12/2026,24492166010100021158001,WATERSHED TAPROOM BROOKLYN NY,BROOKLYN      NY ,-29.86
01/10/2026,                       ,LATE FEE FOR PAYMENT DUE,,-29.00
01/10/2026,24906416009247684388821,STONE HOLLOW COFFEE BROOKLYN NY,BROOKLYN      NY ,-20.63
01/10/2026,24765016009609946620143,STONEGATE RAMEN NEW YORK NY,NEW YORK      NY ,-9.56
01/10/2026,24692166009109138823861,HARVEST TABLE FOODS BROOKLYN NY,BROOKLYN      NY ,-18.50
01/10/2026,24692166009109120728847,SALTGRASS ESPRESSO BROOKLYN NY,BROOKLYN      NY ,-32.65
01/10/2026,24431066009358245167021,COBBLESTONE CANTINA NEW YORK NY,NEW YORK      NY ,-14.14
01/09/2026,24064666009100002292712,NORTHNODE HOSTING Reykjavik IS,Reykjavik     IS ,-33.53
01/09/2026,24943016008010190185329,HARBOR LIGHT SUSHI NEW YORK NY,NEW YORK      NY ,-21.74
01/09/2026,24943016008010196705922,SWIFTCAR *TRIP HELP.SWIFTCAR.COM CA,HELP.SWIFTCAR CA ,-33.11
01/09/2026,24943016008010196705955,PEAK FLOW YOGA NEW YORK NY,NEW YORK      NY ,-90.33
01/08/2026,24445006007200167721298,COPPERHEAD COFFEE BROOKLYN NY,BROOKLYN      NY ,-2.83
01/08/2026,24055236007607384516919,FOXHOLE BREWING CO BROOKLYN NY,BROOKLYN      NY ,-39.99
01/07/2026,24204296007001040879222,RIDEPATH *TRIP HELP.RIDEPATH.COM CA,HELP.RIDEPATH CA ,-190.97
01/07/2026,24692166006105895726530,THE WAYPOINT GRILL BROOKLYN NY,BROOKLYN      NY ,-10.34
01/07/2026,24692166006105975487672,SP CLEARPATH GOODS clearpath.com NY,clearpath.com NY ,-30.00
01/06/2026,24445006005100151797803,KIVA MICROLOAN 828-479-5482 CA,828-479-5482  CA ,-11.41
01/05/2026,74431066005355582307193,TST* LANTERN AND VINE New York NY,New York      NY ,105.50
01/05/2026,24733096005103912391165,WWW.IRONCLAD-YOGA.COM WWW.IRONCLAD-YOGA.COM NY,WWW.IRONCLAD- NY ,-6.99
