Posted Date,Reference Number,Payee,Address,Amount
03/12/2026,24164076070091007210350,THE IRON FORK NEW YORK NY,NEW YORK      NY ,-27.22
03/12/2026,24036296070742951459019,CITY FRESH GROCERY NEW YORK NY,NEW YORK      NY ,-217.74
03/12/2026,24011346071100008707735,TRADEPOST *PURCHASE 800-456-3229 CA,800-456-3229  CA ,-18.31
03/12/2026,24239006070900012124844,CLOUDONE* 855-836-0000 CA,855-836-0000  CA ,-7.99
03/12/2026,24692166070104382385554,EB *EVENT PREMIER 801-413-7200 CA,801-413-7200  CA ,-45.46
03/12/2026,24692166070104377409765,NORTHSIDE APPAREL NEW YORK NY,NEW YORK      NY ,-3.00
03/11/2026,74298256070920036012027,TST* THE STILL POINT New York NY,New York      NY ,-81.72
03/11/2026,24064666070100003881053,SP NORTHCRAFT GEAR northcraft.com CA,northcraft.com CA ,-12.95
03/10/2026,24137466069001762110760,TST* LANTERN AND VINE New York NY,New York      NY ,-45.74
03/10/2026,24137466068501001869101,STONE HOLLOW COFFEE BROOKLYN NY,BROOKLYN      NY ,-63.18
03/10/2026,24137466068100275341135,GROVE MARKET #12 NEW YORK NY,NEW YORK      NY ,-33.75
03/10/2026,24055236068674116000543,SQ *FERN HILL BAKERY New York NY,New York      NY ,-22.65
03/09/2026,24137466067501029203326,DAWN BREAK ROASTERS NEW YORK NY,NEW YORK      NY ,-67.38
03/09/2026,24164076067091007291181,STREAM*VIDEOPRIME g.co/helppay# CA,g.co/helppay# CA ,-31.91
03/09/2026,24492166066100031454922,GB* COMMUNITY FUND GIVEBUTTER.CO DE,GIVEBUTTER.CO DE ,537.64
03/07/2026,24231686066671447339496,MEDICROSS LABS 800-845-0000 NC,800-845-0000  NC ,-88.03
03/07/2026,74435656066163716178963,RIDGEBACK RAMEN NEW YORK NY,NEW YORK      NY ,60.95
03/07/2026,74435656066163716178955,TIMBERWOLF HARDWARE BROOKLYN NY,BROOKLYN      NY ,21.78
03/07/2026,24435656066163716018867,NORTHSIDE PHARMACY BROOKLYN NY,BROOKLYN      NY ,-24.45
03/05/2026,24801976064668897080015,SUNDOG THAI KITCHEN NEW YORK NY,NEW YORK      NY ,-15.45
03/05/2026,24492166064100005205195,SQ *RIVERVIEW CAFE New York NY,New York      NY ,-81.66
03/04/2026,06220401060026597408569,ONLINE/MOBILE PAYMENT CONF#ii9hywbnj,,4298.61
03/04/2026,24231686063668019143689,SALTGRASS NOODLE HOUSE NEW YORK NY,NEW YORK      NY ,-1.30
03/04/2026,24231686063668019012538,DRIFTWOOD KITCHEN NEW YORK NY,NEW YORK      NY ,-65.00
03/04/2026,24204296063001231168212,RIDGELINE SUPPLY BROOKLYN NY,BROOKLYN      NY ,-30.97
03/04/2026,74985266062465399928507,ATLAS MEDICAL GROUP 855-880-0000 NY,855-880-0000 NY ,-16.80
03/04/2026,24000776063100005917486,FERN & OAK NEW YORK NY,NEW YORK      NY ,-13.62
03/04/2026,24943006062388046371960,CITYWIDE PER INS 800-842-0000 CT,800-842-0000  CT ,-207.87
03/03/2026,24137466061100280486757,THE YELLOW FINCH NEW YORK NY,NEW YORK      NY ,-2.72
03/02/2026,24692166061105646060140,HOMEGOODS*ONLINE 866-263-8000 MA,866-263-8000  MA ,-27.73
03/02/2026,24137466060501386699600,EMBER GRAIN COFFEE BROOKLYN NY,BROOKLYN      NY ,-72.62
03/02/2026,24011346060100104333207,STONEGATE RAMEN NEW YORK NY,NEW YORK      NY ,-20.00
03/02/2026,24692166059103712960644,MUSICPASS* PREMIUM g.co/helppay# CA,g.co/helppay# CA ,-12.89
02/28/2026,24011346059100071362224,ANCHOR AND VINE BROOKLYN NY,BROOKLYN      NY ,-271.10
02/28/2026,24137466058501038269590,HARBOR FERRY 844-555-0200 NY,844-555-0200  NY ,-73.84
02/28/2026,24492166058100052554568,RIDGELINE SUPPLY CO BROOKLYN NY,BROOKLYN      NY ,-32.10
02/26/2026,24801976057660905076498,SHOPSTREAM *ORDER 800-456-3229 CA,800-456-3229  CA ,-13.91
02/26/2026,24137466056100256956194,MESHLINK DONATION MESHLINK.NET NY,MESHLINK.NET  NY ,-59.28
02/24/2026,24204296055001268497096,ORCHID HOUSE CLEANING WWW.CLEANINGNY,WWW.CLEANINGN NY ,-62.56
02/24/2026,24204296055000267360073,CITYLOCK STORAGE 800-555-0500 NY,800-555-0500  NY ,-13.05
