Posted Date,Reference Number,Payee,Address,Amount
11/12/2025,24692165315104897061572,MTA*NYCT PAYGO NEW YORK NY,NEW YORK      NY ,-47.69
11/11/2025,24064665314100075010092,TST* RED OAK TAVERN BROOKLYN NY,BROOKLYN      NY ,-20.70
11/11/2025,24064665314100074920101,SWIFTCAR *TRIP HELP.SWIFTCAR.COM CA,HELP.SWIFTCAR CA ,-20.70
11/10/2025,24692165313103611215664,RIDGELINE SUPPLY BROOKLYN NY,BROOKLYN      NY ,-166.94
11/10/2025,24137465313501353747967,THE LONG POUR NEW YORK NY,NEW YORK      NY ,-42.00
11/10/2025,24692165313103186496210,HIGHLAND CLOTHING BROOKLYN NY,BROOKLYN      NY ,-97.92
11/10/2025,24055235313543266293296,MESHLINK DONATION MESHLINK.NET NY,MESHLINK.NET  NY ,-13.92
11/10/2025,24064665313100001270902,HARBOR PORTER PUB BROOKLYN NY,BROOKLYN      NY ,-12.95
11/08/2025,24692165311101808210136,HOLLOW TREE ROASTERS BROOKLYN NY,BROOKLYN      NY ,-20.69
11/08/2025,24011345311100105406274,PULSE FITNESS NEW YORK NY,NEW YORK      NY ,-364.75
11/07/2025,24692165310100262439281,SP CLEARWATER GOODS CLEARGOODS.COM CA,CLEARGOODS.CO CA ,-12.79
11/03/2025,24692165307100354319396,CLEARPATH MARKET BROOKLYN NY,BROOKLYN      NY ,-267.00
11/03/2025,24492165307100016030987,THE COPPER RAIL BROOKLYN NY,BROOKLYN      NY ,-86.00
11/03/2025,24801975306536063226490,COPPER PLATE BISTRO NEW YORK NY,NEW YORK      NY ,-396.28
11/03/2025,24137465306501116120949,ARTISAN*MARKET ONLINE 888-555-0192 NY,888-555-0192 NY ,-72.79
11/03/2025,24064665306100001912478,FSP*COBBLESTONE ALE HOUSE NEW YORK NY,NEW YORK   NY ,-12.95
11/03/2025,24692165305108817352716,STONE HOLLOW COFFEE BROOKLYN NY,BROOKLYN      NY ,-220.70
11/01/2025,24492165305100009660289,SQ *FERN HILL BAKERY New York NY,New York      NY ,-47.95
11/01/2025,24692165304108089500084,RIDGELINE BOOKS NEW YORK NY,NEW YORK      NY ,-18.50
11/01/2025,24692165304107983010620,HOME ASSISTANT CLOUD NABUCASA.COM CA,NABUCASA.COM CA ,-12.40
10/30/2025,24137465303600251329647,FIELDSTONE GROCERY BROOKLYN NY,BROOKLYN      NY ,-6.10
10/30/2025,24692165302105764408809,NORTHGATE MARKET BROOKLYN NY,BROOKLYN      NY ,-41.24
10/29/2025,24692165301105437681700,WILDFLOWER RAMEN BROOKLYN NY,BROOKLYN      NY ,-115.00
10/29/2025,24064665301100082822930,WORKSPACE*PRO WWW.WORKSPACE.COM CA,WWW.WORKSPACE.COM CA ,-12.95
10/28/2025,24492165301100010360675,WWW.IRONCLAD-YOGA.COM WWW.IRONCLAD-YOGA.COM NY,WWW.IRONCLAD- NY ,-14.70
10/28/2025,24137465300501060727679,DRIFT BEER GARDEN NEW YORK NY,NEW YORK      NY ,-24.61
10/27/2025,24000975299655812161408,STRONGHOLD GYM NEW YORK NY,NEW YORK      NY ,-38.06
10/27/2025,24137465299001414568484,ANCHOR AND VINE BROOKLYN NY,BROOKLYN      NY ,-31.72
10/27/2025,24064665298100014573960,THE IRON FORK NEW YORK NY,NEW YORK      NY ,-12.95
