Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/18/2026,Platinum Retailer+ Credit,-14.10,"Boxmart+ Member 04/26 027
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320261100087733837',Fees & Adjustments-Fees & Adjustments
04/18/2026,Boxmart+ Member 04/28009777647          AR,14.10,"XPQRZTFNAK 8009367389
Boxmart+ Member 04/26 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",Boxmart+ Member 04/28009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320261090076369593',Merchandise & Supplies-Internet Purchase
04/17/2026,ONLINE PAYMENT - THANK YOU,-22.99,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320261070996684702',
04/15/2026,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,32.99,"15917976590 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320261050939148809',Communications-Cable & Internet Comm
04/15/2026,Platinum Digital Entertainment Credit,-25.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320261060966533090',Fees & Adjustments-Fees & Adjustments
04/08/2026,NORTHPLEX MUSIC HALLNew York            NY,18.40,"mPDN3aXSGRp payments.streetapp.com/receipts
NORTHPLEX MUSIC HALL CONCESSIONS
New York
NY",NORTHPLEX MUSIC HALLNew York            NY,835 WEST 44TH ST,"NEW YORK
NY",10036,UNITED STATES,'320260970729102542',Restaurant-Bar & Café
03/23/2026,CLEARWAVE MOBILE           NEW YORK            NY,15.00,"RX_4UF4CQGC +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320260820279255245',Communications-Mobile Telecom
03/18/2026,Platinum Retailer+ Credit,-14.10,"Boxmart+ Member 03/26 027
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320260780148707807',Fees & Adjustments-Fees & Adjustments
03/18/2026,Boxmart+ Member 03/28009777647          AR,14.10,"X4F61MCH5X 8009367389
Boxmart+ Member 03/26 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",Boxmart+ Member 03/28009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320260770122890228',Merchandise & Supplies-Internet Purchase
03/15/2026,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,32.99,"37540046968 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320260740036854028',Communications-Cable & Internet Comm
