Posted Date,Reference Number,Payee,Address,Amount
04/21/2026,24692166111405985706596,HARBOR LIGHT SUSHI NEW YORK NY,NEW YORK      NY ,-56.60
04/21/2026,24692166110405702833203,WILDFLOWER RAMEN BROOKLYN NY,BROOKLYN      NY ,-48.98
04/21/2026,24137466110501018006836,BLUE HERON KITCHEN BROOKLYN NY,BROOKLYN      NY ,-51.72
04/20/2026,74943016109010197863814,GROVE MARKET #12 NEW YORK NY,NEW YORK      NY ,11.96
04/20/2026,24000776109100001876864,THE IRON ANCHOR NEW YORK NY,NEW YORK      NY ,-14.16
04/20/2026,24692166108403368979562,OMNYTRANSIT* 877-789-0000 NY,877-789-0000  NY ,-52.00
04/18/2026,24137466108001563120276,RIDEPATH *TRIP HELP.RIDEPATH.COM CA,HELP.RIDEPATH CA ,-10.45
04/17/2026,24204296107001018216216,KIVA MICROLOAN 828-479-5482 CA,828-479-5482  CA ,-26.21
04/17/2026,24801976107718112082731,METRO SUPPLY HOUSE NEW YORK NY,NEW YORK      NY ,-13.91
04/17/2026,24692166106401511863784,HIGHLAND RESORT NORTHSHIRE VT,NORTHSHIRE    VT ,-23.11
04/16/2026,24055236105716454257600,RIDGELINE BOOKS NEW YORK NY,NEW YORK      NY ,-21.76
04/16/2026,24692166105400390355608,AUDIOSTREAM* STREAMCAST.COM NY,STREAMCAST.CO NY ,-3.00
04/16/2026,24692166105400511135475,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,ANTHROPIC.COM CA ,-30.00
04/15/2026,24204296105000093432229,SUMMIT GRILL NEW YORK NY,NEW YORK      NY ,-146.59
04/15/2026,24692166104409615036092,MERIDIAN OUTFITTERS NEW YORK NY,NEW YORK      NY ,-3.00
04/15/2026,24692166104409496739863,THE VIOLET FORK NEW YORK NY,NEW YORK      NY ,-3.00
04/15/2026,24692166104409551847072,RIDGELINE CAFE NEW YORK NY,NEW YORK      NY ,-3.00
04/14/2026,24692166103409113798418,COPPER PLATE BISTRO NEW YORK NY,NEW YORK      NY ,-54.99
04/14/2026,24027626103067252216987,METRO GAS ELECTRIC 800-555-0300 NY,800-555-0300  NY ,-20.73
04/14/2026,24137466103500978133449,CLEARPATH SERVICES NEW YORK NY,NEW YORK      NY ,-67.22
04/13/2026,24692166102408220660934,TST* KESTREL SUSHI BAR NEW YORK NY,NEW YORK      NY ,-43.99
04/13/2026,74943016102010220173170,COPPERHEAD COFFEE BROOKLYN NY,BROOKLYN      NY ,27.20
04/13/2026,24943016102010220179719,HARBOR MUSIC HALL NEW YORK NY,NEW YORK      NY ,-37.32
04/13/2026,24943016102010220176905,NEWSFEED*DIGITAL NEWSFEED.SUB CT,NEWSFEED.SUB  CT ,-46.22
04/13/2026,24692166102407874319367,TIMBERWOLF HARDWARE BROOKLYN NY,BROOKLYN      NY ,-97.28
04/13/2026,24011346102100075713825,SQ *STORMCROW TAPAS Brooklyn NY,Brooklyn      NY ,-39.86
04/13/2026,24231686102712613612732,DRIFT BEER GARDEN NEW YORK NY,NEW YORK      NY ,-11.31
04/13/2026,24231686102712613612427,APEX HARDWARE BROOKLYN NY,BROOKLYN      NY ,-34.49
04/13/2026,24692166102407626712414,BIRCH AND BARLEY NEW YORK NY,NEW YORK      NY ,-3.00
04/13/2026,24011346101100107748089,THE GREEN AISLE BROOKLYN NY,BROOKLYN      NY ,-30.00
04/13/2026,24692166101406761736965,NORTHGATE MARKET BROOKLYN NY,BROOKLYN      NY ,-21.50
